year,month_abbr,cpi,month_num
2024,Jan,305.037,1
2024,Feb,305.469,2
2024,Mar,305.426,3
2024,Apr,305.707,4
2024,May,305.679,5
2024,Jun,305.752,6
2024,Jul,306.643,7
2024,Aug,306.402,8
2024,Sep,307.767,9
2024,Oct,308.2,10
2024,Nov,307.972,11
2024,Dec,308.38,12
2025,Jan,310.936,1
2025,Feb,311.284,2
2025,Mar,312.815,3
2025,Apr,311.84,4
2025,May,312.491,5
2025,Jun,313.028,6
2025,Jul,313.263,7
2025,Aug,314.608,8
2025,Sep,316.042,9
2025,Nov,313.954,11
2025,Dec,315.664,12
2026,Jan,317.431,1
2026,Feb,318.898,2
2026,Mar,318.755,3
