date,store,item,price,total
05/05/2024,Wegmans Manhattan,WB IC Tri-Color CH,8.99,
05/05/2024,Wegmans Manhattan,IC Basil Pesto Sau,3.99,
05/05/2024,Wegmans Manhattan,A&H Baking Soda,1.39,
05/05/2024,Wegmans Manhattan,WEG Org Breast,10.70,
05/05/2024,Wegmans Manhattan,WEG Org Breast,11.12,
05/05/2024,Wegmans Manhattan,ABF Bl Ckn Thgh CT,9.95,
05/05/2024,Wegmans Manhattan,WEG Sockeye Slmn F,25.98,
05/05/2024,Wegmans Manhattan,Gold Nug Mandarins,4.99,
05/05/2024,Wegmans Manhattan,Celery 24CT,1.99,
05/05/2024,Wegmans Manhattan,Jumbo Blueberries,6.99,
05/05/2024,Wegmans Manhattan,WBO 1# Carrots,1.49,
05/05/2024,Wegmans Manhattan,Onions 2lb,1.99,
05/05/2024,Wegmans Manhattan,Bulk Russet Potato 2.15lb @ $1.19/lb,2.56,
05/05/2024,Wegmans Manhattan,Granny Smith Apple,1.67,
05/05/2024,Wegmans Manhattan,WEG Org 2# Lemons,5.49,
05/05/2024,Wegmans Manhattan,WB 4CT Bag Avocado,4.49,
05/05/2024,Wegmans Manhattan,WB Org Spring Mix,5.29,
05/05/2024,Wegmans Manhattan,WEG Brazil Nuts,6.99,116.06
05/18/2024,Wegmans Manhattan,WB IC Tri-Color CH,8.99,
05/18/2024,Wegmans Manhattan,WB Mixed Berries,11.99,
05/18/2024,Wegmans Manhattan,WB Mixed Berries savings,-4.00,
05/18/2024,Wegmans Manhattan,Gldn Potato Pancak,5.49,
05/18/2024,Wegmans Manhattan,Nova Blush Sce,5.49,
05/18/2024,Wegmans Manhattan,WB Butter Stk,12.99,
05/18/2024,Wegmans Manhattan,WB Mixed Berries,11.99,
05/18/2024,Wegmans Manhattan,WEG Org Breast,4.00,
05/18/2024,Wegmans Manhattan,WBO Ground Beef,11.99,
05/18/2024,Wegmans Manhattan,WEG 18MO Frsco Di,7.12,
05/18/2024,Wegmans Manhattan,Tome Flusr Verte,14.99,
05/18/2024,Wegmans Manhattan,Salmon Caviar 1.75,8.29,
05/18/2024,Wegmans Manhattan,WBO Black Flss,3.75,
05/18/2024,Wegmans Manhattan,OG Green Onions,6.99,
05/18/2024,Wegmans Manhattan,OPG Blueberries,9.99,
05/18/2024,Wegmans Manhattan,2x Bag Nectarines,6.98,
05/18/2024,Wegmans Manhattan,Organic Broccoli,3.11,
05/18/2024,Wegmans Manhattan,Asparagus STD 1.04lb @ $1.99/lb,4.24,
05/18/2024,Wegmans Manhattan,OPG Avocado 48CT,5.96,
05/18/2024,Wegmans Manhattan,Mush WB 18 OZ Port,5.99,
05/18/2024,Wegmans Manhattan,OPG Spring/Spring,1.99,
05/18/2024,Wegmans Manhattan,Radish Bunch,4.24,170.89
05/11/2024,Wegmans Manhattan,WB IC Tri-Color CH,8.99,
05/11/2024,Wegmans Manhattan,WBO Tofu X-Frm,1.99,
05/11/2024,Wegmans Manhattan,WBO Thermal Bag,3.49,
05/11/2024,Wegmans Manhattan,WBO Ground Beef,8.29,
05/11/2024,Wegmans Manhattan,WEG Org Breast,13.41,
05/11/2024,Wegmans Manhattan,WBO 0G Splnd Bacon,14.99,
05/11/2024,Wegmans Manhattan,WEG Org Thigh,7.29,
05/11/2024,Wegmans Manhattan,1.75oz Blck Tobiko,6.09,
05/11/2024,Wegmans Manhattan,Cod Fzn 2lb,6.00,
05/11/2024,Wegmans Manhattan,WEG Blue Chs Shell,3.49,
05/11/2024,Wegmans Manhattan,Honl Pot Reg Pans,16.99,
05/11/2024,Wegmans Manhattan,EU Org Raw P&D 31,18.98,
05/11/2024,Wegmans Manhattan,4pk FR Van Muffin,8.29,
05/11/2024,Wegmans Manhattan,Round Pumpernickel,4.99,
05/11/2024,Wegmans Manhattan,5ct Huskend Corn,1.99,
05/11/2024,Wegmans Manhattan,Radish Mnchl 2lbs,4.99,
05/11/2024,Wegmans Manhattan,Jumbo Blueberries,1.54,
05/11/2024,Wegmans Manhattan,WBO Org 3CT Bag Avo,1.49,
05/11/2024,Wegmans Manhattan,FP Garlic Bag,0.31,182.49
05/25/2024,Wegmans Manhattan,WB Brry Wing Blend,11.49,
05/25/2024,Wegmans Manhattan,WEG Org Thigh,11.49,
05/25/2024,Wegmans Manhattan,WBO Ground Beef,14.99,
05/25/2024,Wegmans Manhattan,Salmon Caviar 1.75,7.78,
05/25/2024,Wegmans Manhattan,6 PK Everything BG,3.50,
05/25/2024,Wegmans Manhattan,WEG Org Breast,14.99,
05/25/2024,Wegmans Manhattan,4PK Muffins,6.25,
05/25/2024,Wegmans Manhattan,1/2 1# Pumpernicke,3.50,
05/25/2024,Wegmans Manhattan,Gldn Potato Pancak,10.98,
05/25/2024,Wegmans Manhattan,WBO Mini Cukes,5.25,
05/25/2024,Wegmans Manhattan,6PK Everything BG,3.50,
05/25/2024,Wegmans Manhattan,Org Spin/Spring,9.38,
05/25/2024,Wegmans Manhattan,Cherries Red,6.00,
05/25/2024,Wegmans Manhattan,5ct Husked Corn,4.38,
05/25/2024,Wegmans Manhattan,OPG Mixed Corn,3.31,
05/25/2024,Wegmans Manhattan,Radish Bunch,1.99,
05/25/2024,Wegmans Manhattan,Bulk Russet Potato,1.99,
05/25/2024,Wegmans Manhattan,Bananas,1.52,
05/25/2024,Wegmans Manhattan,Shitake Mushrooms,5.59,
05/25/2024,Wegmans Manhattan,Pepper Red 1.27lb @ $3.49/lb,4.43,140.80
06/01/2024,Wegmans Manhattan,WB IC Tri-Color CH,8.99,
06/01/2024,Wegmans Manhattan,WB Mixed Berries,11.99,
06/01/2024,Wegmans Manhattan,WB Mixed Berries savings,-4.00,
