date,store,item,price,subtotal,tax,total
12/01/2024,Whole Foods Manhattan,Mult Salmon,4.13,,,
12/01/2024,Whole Foods Manhattan,OG Smkg Clam,4.12,,,
12/01/2024,Whole Foods Manhattan,Prtno AC GS FD Diet,7.85,,,
12/01/2024,Whole Foods Manhattan,Adore Grsy C Clam Shamon,2.79,,,
12/01/2024,Whole Foods Manhattan,Alaki Unscrnd Ulma Pads,14.99,,,
12/01/2024,Whole Foods Manhattan,Yellow Peach Body Wash,12.29,,,
12/01/2024,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,7.85,,,
12/01/2024,Whole Foods Manhattan,Doral Adults Chz Psto,2.50,,,
12/01/2024,Whole Foods Manhattan,Jumbo Blueberry WFI,8.99,,,
12/01/2024,Whole Foods Manhattan,Black Mssion Figs,9.99,,,
12/01/2024,Whole Foods Manhattan,Container Deposit,0.10,,,
12/01/2024,Whole Foods Manhattan,Savings with Prime,-2.50,61.02,0.88,54.96
12/31/2024,Whole Foods Manhattan,365WFM Corn Starch,2.19,,,
12/31/2024,Whole Foods Manhattan,Mart Sparkling Blush,4.13,,,
12/31/2024,Whole Foods Manhattan,Mart OG Sparkling Cider,4.13,,,
12/31/2024,Whole Foods Manhattan,365WFM Baking Soda,0.99,,,
12/31/2024,Whole Foods Manhattan,Mandarin Slcd,3.99,,,
12/31/2024,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,7.79,,,
12/31/2024,Whole Foods Manhattan,OG Fuyu Persimmon 0.53lb @ $4.99/lb,2.64,,,
12/31/2024,Whole Foods Manhattan,Svrno Pasta Bar 0.98lb @ $7.99/lb,7.83,,,
12/31/2024,Whole Foods Manhattan,Simplemill Rosmry Cracker,5.49,,,
12/31/2024,Whole Foods Manhattan,Chrlto Trufa Seca Salami,10.29,,,
12/31/2024,Whole Foods Manhattan,Fromi St Neci Excellence,7.31,,,
12/31/2024,Whole Foods Manhattan,Lcils Le Petit Brie 0.33lb @ $16.99/lb,5.61,,,
12/31/2024,Whole Foods Manhattan,Belgian Waffle,1.69,,,
