date,store,item,price,subtotal,tax,total
01/02/2025,Whole Foods Manhattan,OG4600 Hads Aresia Pasta Sce,3.63,,,
01/02/2025,Whole Foods Manhattan,Kngt Cl OG Hals Pecan,7.79,,,
01/02/2025,Whole Foods Manhattan,Adob OG Vma Arb Hlumination,4.94,,,
01/02/2025,Whole Foods Manhattan,OG Cosmos Cls,4.79,,,
01/02/2025,Whole Foods Manhattan,Tars Mght 0 1lb,4.04,,,
01/02/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,8.99,,,
01/02/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
01/02/2025,Whole Foods Manhattan,OG Spng Wtr,2.99,,,
01/02/2025,Whole Foods Manhattan,Savings with Prime,-2.25,66.79,0.00,66.79
01/16/2025,Whole Foods Manhattan,Fuen OG Almond Milk,1.92,,,
01/16/2025,Whole Foods Manhattan,365WFM OG Carrot,3.69,,,
01/16/2025,Whole Foods Manhattan,Aore Gestoito Pepper PP,4.99,,,
01/16/2025,Whole Foods Manhattan,OG Blueberry,5.99,,,
01/16/2025,Whole Foods Manhattan,Banana 0.79lb @ $0.59/lb,0.47,,,
01/16/2025,Whole Foods Manhattan,Baby Cucumber,4.63,,,
01/16/2025,Whole Foods Manhattan,Green Asparagus,4.12,,,
01/16/2025,Whole Foods Manhattan,Lemon OG Baking Soda,0.99,,,
01/16/2025,Whole Foods Manhattan,Milk OG Almond Milk,6.69,,,
01/16/2025,Whole Foods Manhattan,Savings with Prime,-2.00,52.11,0.21,52.11
01/21/2025,Whole Foods Manhattan,Navel Orange,4.38,,,
01/21/2025,Whole Foods Manhattan,Savings with Prime,-4.00,,,
01/21/2025,Whole Foods Manhattan,OG Almond Milk,6.99,,,
01/21/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.64,,,
01/21/2025,Whole Foods Manhattan,OG Avocado Hass,3.20,,,
01/21/2025,Whole Foods Manhattan,Banana,1.42,,,
01/21/2025,Whole Foods Manhattan,Savings with Prime,-2.20,68.10,0.00,68.10
01/29/2025,Whole Foods Manhattan,Navel Orange,3.44,,,
01/29/2025,Whole Foods Manhattan,Lucni NY Olive Oil,39.99,,,
01/29/2025,Whole Foods Manhattan,Arne Red Dentity Pepper PP,4.99,,,
01/29/2025,Whole Foods Manhattan,OG Vell Almond Milk,6.99,,,
01/29/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
01/29/2025,Whole Foods Manhattan,OG Sols Baby Cucumber,3.99,,,
01/29/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,14.99,,,
01/29/2025,Whole Foods Manhattan,Savings with Prime,-4.00,124.16,0.00,111.16
02/01/2025,Whole Foods Manhattan,Green Asparagus 4 1.16lb @ $4.79/lb,4.84,,,
02/01/2025,Whole Foods Manhattan,Savings with Prime,-1.00,4.84,0.00,4.84
02/08/2025,Whole Foods Manhattan,Framles OG Hads Aresia Pasta Sce,5.21,,,
02/08/2025,Whole Foods Manhattan,Rads WFM Aresta Pasta Sce,5.99,,,
02/08/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
02/08/2025,Whole Foods Manhattan,Broccoli Crowns 1lb @ $2.69/lb,3.38,,,
02/08/2025,Whole Foods Manhattan,OG Grnd Beef 88/15,5.21,,,
02/08/2025,Whole Foods Manhattan,Satfr Wild Arugula Clam,3.08,,,
02/08/2025,Whole Foods Manhattan,Savings with Prime,-2.80,56.05,0.00,56.05
02/14/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
02/14/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
02/14/2025,Whole Foods Manhattan,Dekgon Citrus,3.99,,,
02/14/2025,Whole Foods Manhattan,Alft OG 1% BOV MK,1.58,,,
02/14/2025,Whole Foods Manhattan,Banana 2.86lb @ $0.59/lb,1.69,,,
02/14/2025,Whole Foods Manhattan,365WM 1PP Almond Milk,6.29,,,
02/14/2025,Whole Foods Manhattan,OG Blueberries 6oz,5.62,,,
02/14/2025,Whole Foods Manhattan,Savings with Prime,-1.42,52.48,0.00,56.03
02/22/2025,Whole Foods Manhattan,Framles OG Chse Whole,7.39,,,
02/22/2025,Whole Foods Manhattan,Rads WFM Aresta Pasta Sce,3.99,,,
02/22/2025,Whole Foods Manhattan,OG Vell New Almond Milk,1.38,,,
02/22/2025,Whole Foods Manhattan,Broccoli Crowns,3.99,,,
02/22/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
02/22/2025,Whole Foods Manhattan,Savings with Prime,-3.30,37.83,0.00,37.83
02/29/2025,Whole Foods Manhattan,OG Yellow Onion 3.22lb @ $1.59/lb,5.12,,,
02/29/2025,Whole Foods Manhattan,Lemin OG Brwn Corn,2.99,,,
02/29/2025,Whole Foods Manhattan,WFM Large A Egg,5.39,,,
02/29/2025,Whole Foods Manhattan,365WFM OG Green Peas,3.49,,,
